,score,pnet,wall,stress,TBR
0,-0.49222560014526445,4922.256001452644,8.974913657922212,155702401.01869753,1.1683787385888293
1,-0.5214077520596687,5214.0775205966875,9.959898784732864,170312699.2805761,1.4
2,-0.6135164483021066,6135.164483021066,9.37911241474102,174831946.48151517,1.4
3,-0.6212464007149012,6558.187832986088,10.345723825837077,174831946.48151517,1.4
4,-0.6735973647996047,7081.697473833127,10.34572382583708,188528167.80229038,1.4
5,-0.7034338682935167,7147.376889587734,10.113038206652567,205759402.5593485,1.4
6,-0.7598742841616912,7711.781048269477,10.113038206652565,221729596.86039007,1.4
7,-0.806721806310386,8067.21806310386,9.962473195964455,223471635.54064012,1.4
8,-0.8428969727862917,9040.163899247387,10.61119417138447,239717217.74616265,1.4
9,-0.8454568731573192,9065.762902957662,10.61119417138447,240386810.3809653,1.4
10,-0.8852947120191855,8852.947120191855,9.643904439065661,250270965.21763206,1.4
11,-0.9182379960314381,9212.053991536266,10.029674031221885,250270965.21763206,1.4
12,-0.9285363533235912,9320.027393996646,10.034663860760736,255795373.1351332,1.4
13,-0.9506867378904068,9506.867378904068,9.886660815717434,261899462.2428746,1.4
14,-0.9506867378904068,9506.867378904068,9.886660815717434,261899462.2428746,1.4
15,-0.9526366452240622,9526.366452240622,9.842606061247112,274433157.47940534,1.4
16,-0.9526366452240622,9526.366452240622,9.842606061247112,274433157.47940534,1.4
17,-0.9535434910708719,9535.434910708718,9.842606061247112,236049984.5674786,1.4
18,-0.9538456023887881,9538.45602388788,9.842606061247112,223910844.21204197,1.4
19,-0.9542335557979988,9542.335557979988,9.842606061247112,208797697.3221451,1.4
20,-0.9545469238780554,9545.469238780553,9.842606061247112,196980354.98925647,1.4
21,-0.9558619640170759,9558.619640170758,9.859307176065206,208797697.3221451,1.4
22,-0.9558619640170759,9558.619640170758,9.859307176065206,208797697.3221451,1.4
23,-0.9563945068802736,9563.945068802735,9.859307176065206,188939003.6986797,1.4
24,-0.9567132169129098,9567.132169129098,9.859307176065206,177535431.8119989,1.4
25,-0.9575743566910028,9575.743566910027,9.859307176065206,148527202.5165648,1.4
26,-0.9576442020061597,9576.442020061597,9.859307176065206,146289923.91136274,1.4
27,-0.9580855896902682,9580.855896902682,9.859307176065206,132552696.77387714,1.4
28,-0.9584266711345929,9584.266711345928,9.859307176065206,122412197.34470516,1.4
29,-0.9587476405851311,9587.47640585131,9.859307176065206,113248155.33723101,1.4
30,-0.9589796740971047,9589.796740971047,9.859307176065206,106852118.0332007,1.4
31,-0.9595910810692595,9595.910810692594,9.859307176065206,90919393.4856435,1.4
32,-0.9601257593956718,9601.257593956718,9.859307176065206,78082623.82217644,1.4
33,-0.9604504414601223,9604.504414601222,9.859307176065206,70788141.34749848,1.4
34,-0.9606262265534202,9606.262265534202,9.859307176065203,81530766.93156868,1.4
35,-0.9608369228318724,9608.369228318723,9.859307176065206,62599784.86100566,1.4
36,-0.9611654050528351,9611.65405052835,9.859307176065206,56064030.62302364,1.4
37,-0.9613722610226644,9613.722610226643,9.859307176065206,52148654.40248503,1.4
38,-0.9617539622441231,9617.53962244123,9.859307176065206,45331710.01063437,1.4
39,-0.96185110886205,9618.5110886205,9.859307176065206,43681430.06801407,1.4
40,-0.9622710399527594,9622.710399527594,9.859307176065206,36944767.30504998,1.4
41,-0.9623644546772152,9623.644546772151,9.859307176065206,35534093.337258525,1.4
42,-0.9627603099191183,9627.603099191183,9.859307176065206,29912867.48041645,1.4
43,-0.9630580865861592,9630.580865861592,9.859307176065206,26066171.666096643,1.4
44,-0.9630635022792755,9630.635022792754,9.859307176065206,25999255.9161917,1.4
45,-0.9634552255751447,9634.552255751447,9.859307176065206,21448228.177342676,1.4
46,-0.9634647805732842,9634.647805732842,9.859307176065206,21344347.672812022,1.4
47,-0.9636562439720511,9636.56243972051,9.859307176065206,19334337.78858068,1.4
48,-0.9639205372754379,9639.205372754379,9.859307176065206,16783255.918417532,1.4
49,-0.9639512425205822,9639.512425205821,9.859307176065206,16503623.682194209,1.4
