pnet_p50,pnet_p05,engage_rate,burst_rate,fail_rate,wall_damage_rate
5830.431957967898,3791.779037649173,0.550875,0.0785,0.0,0.043125
5830.431957967898,3791.779037649173,0.550875,0.0785,0.0,0.043125
7747.141007873796,5291.500568376325,0.505875,0.0785,0.0,0.044375
9605.1616728849,6670.035006877172,0.553625,0.0785,0.0,0.043125
9605.1616728849,6670.035006877172,0.553625,0.0785,0.0,0.043125
9605.1616728849,6670.035006877172,0.553625,0.0785,0.0,0.043125
13345.871972655148,9607.869255723586,0.505875,0.0785,0.0,0.044375
13345.871972655148,9607.869255723586,0.505875,0.0785,0.0,0.044375
13386.822961960443,9650.053269692255,0.505875,0.0785,0.0,0.044375
19642.261144035023,14484.045625100269,0.505875,0.0785,0.0,0.044375
19642.261144035023,14484.045625100269,0.505875,0.0785,0.0,0.044375
21753.90687712154,16089.173062430555,0.505875,0.0785,0.0,0.044375
24070.096392021034,17930.170318383556,0.539125,0.0785,0.0,0.0435
25184.274664519282,18696.741188790387,0.505875,0.0785,0.0,0.044375
25184.274664519282,18696.741188790387,0.505875,0.0785,0.0,0.044375
25245.622502569415,18758.32440973789,0.505875,0.0785,0.0,0.044375
25245.622502569415,18758.32440973789,0.505875,0.0785,0.0,0.044375
25258.16311869568,18767.640772246934,0.53075,0.0785,0.0,0.044
25907.523746398976,19276.067337938515,0.505875,0.0785,0.0,0.044375
34446.15085053399,25894.59931102788,0.505875,0.0785,0.0,0.044375
