p50,fail,damage,TBR
35637.36429772185,0.0,0.0054,1.1718373064921166
44057.446927474135,0.0,0.045,1.3155499164987847
52882.82812070685,0.0,0.0096,1.1736005443971138
60128.51060173264,0.0,0.0086,1.1736005443971138
75342.2937590979,0.0,0.0062,1.1736005443971138
92200.42450266817,0.0,0.0082,1.1736005443971138
93252.03344884419,0.0,0.0074,1.1736005443971138
126551.61666247979,0.0,0.0072,1.1845377463790985
139244.10510453524,0.0,0.0076,1.1718373064921166
180213.06551698595,0.0,0.0072,1.1845377463790985
203354.2554672493,0.0,0.0094,1.1845377463790985
249008.8688121296,0.0,0.0092,1.1845377463790985
299246.8154823581,0.0,0.0076,1.1845377463790985
396191.7835453624,0.0,0.007,1.1845377463790985
468399.8762667666,0.0,0.0098,1.1845377463790985
612092.5715048017,0.0,0.0112,1.1845377463790985
725034.0274997059,0.0,0.0054,1.1845377463790985
841211.6087766539,0.0,0.0082,1.1845377463790985
1043644.4530059566,0.0,0.0086,1.1845377463790985
1318270.7938977089,0.0,0.0112,1.1845377463790985
1670312.0915765292,0.0,0.0098,1.1845377463790985
2080158.5237182328,0.0,0.0072,1.1845377463790985
2567629.089009694,0.0,0.007,1.1845377463790985
2806845.0389103447,0.0,0.0084,1.1845377463790985
3533728.680315244,0.0,0.0096,1.1845377463790985
4413414.84461526,0.0,0.0068,1.1845377463790985
5217142.74546557,0.0,0.0108,1.1845377463790985
6312522.361837878,0.0,0.0084,1.1845377463790985
8243566.145395856,0.0,0.0078,1.1845377463790985
11347156.3142418,0.0,0.0082,1.1845377463790985
12417622.26018006,0.0,0.008,1.1845377463790985
14619487.589688508,0.0,0.0104,1.1845377463790985
18425851.69034882,0.0,0.009,1.1845377463790985
21168609.35258163,0.0,0.008,1.1845377463790985
26127452.41941604,0.0,0.0108,1.1845377463790985
28045129.184253313,0.0,0.0092,1.1845377463790985
33256061.94967138,0.0,0.011,1.1845377463790985
40701643.99568464,0.0,0.007,1.1845377463790985
46121156.75047929,0.0,0.007,1.1845377463790985
52361460.81424319,0.0,0.0072,1.1845377463790985
