p50,fail_rate,wall_damage_rate,TBR
26557.19551270609,0.0,0.02425,1.3023070101633651
27346.212677734937,0.0,0.0225,1.3023070101633651
27548.717957641406,0.0,0.017375,1.3023070101633651
33538.22476301445,0.0,0.019375,1.3023070101633651
34931.4799332298,0.0,0.02325,1.3023070101633651
40289.27028229802,0.0,0.021625,1.3023070101633651
44640.61676115471,0.0,0.025875,1.3023070101633651
52681.0803106317,0.0,0.0195,1.3023070101633651
62598.89524145283,0.0,0.022625,1.3023070101633651
62325.603700728185,0.0,0.023625,1.3023070101633651
71129.98168826266,0.0,0.023125,1.3023070101633651
86324.08558905088,0.0,0.02025,1.3023070101633651
86442.80428068577,0.0,0.022,1.3023070101633651
101606.91605347092,0.0,0.022,1.3023070101633651
118904.01658371126,0.0,0.020875,1.3023070101633651
152015.16162303998,0.0,0.022625,1.3023070101633651
173370.9189297778,0.0,0.025125,1.3023070101633651
188982.33049264184,0.0,0.023375,1.3023070101633651
192154.21094474988,0.0,0.02125,1.3023070101633651
232196.90805551637,0.0,0.022375,1.3023070101633651
